Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.22;[2.25,1.39,0.70]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.17;[2.25,1.39,0.62]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.16;[2.23,1.46,0.32]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.26;[2.23,1.42,0.41]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.64;P8[5.90,10.00,0.00]=9.24;[2.24,1.39,0.42]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.23;[2.24,1.37,0.42]
P1[0.00,0.00,0.00]=2.39;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.17;[2.22,1.36,0.52]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.11;[2.22,1.37,0.61]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.71;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.17;[2.23,1.37,0.53]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.72;P3[13.00,0.00,0.00]=10.60;P8[5.90,10.00,0.00]=9.23;[2.23,1.34,0.63]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.21;[2.22,1.34,0.58]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.15;[2.22,1.36,0.52]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.25;[2.20,1.41,0.21]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.60;P8[5.90,10.00,0.00]=9.21;[2.21,1.39,0.22]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.22;[2.22,1.38,0.29]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.74;P3[13.00,0.00,0.00]=10.71;P8[5.90,10.00,0.00]=9.28;[2.22,1.36,0.40]
