Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.25;[2.34,1.28,0.60]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.19;[2.34,1.27,0.66]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.09;[2.35,1.28,0.64]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.16;[2.35,1.28,0.69]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.24;[2.34,1.26,0.72]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.14;[2.34,1.26,0.72]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.16;[2.34,1.27,0.74]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.11;[2.34,1.28,0.77]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.15;[2.34,1.29,0.80]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.16;[2.34,1.28,0.80]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.17;[2.34,1.27,0.79]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.15;[2.34,1.28,0.81]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.10;[2.34,1.29,0.82]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.00;[2.35,1.32,0.76]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.09;[2.33,1.33,0.75]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.49;null;[2.35,1.28,0.40]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.12;[2.34,1.29,0.52]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=8.98;[2.34,1.33,0.51]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.14;[2.35,1.31,0.54]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.13;[2.33,1.32,0.62]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.12;[2.33,1.32,0.66]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.07;[2.33,1.33,0.69]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.11;[2.34,1.33,0.72]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=8.98;[2.34,1.36,0.70]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=8.98;[2.36,1.37,0.67]
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.40;P8[5.90,10.00,0.00]=9.10;[2.37,1.36,0.71]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.07;[2.37,1.35,0.69]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.09;[2.37,1.35,0.72]
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.41;P8[5.90,10.00,0.00]=9.09;[2.38,1.34,0.74]
