Anchor/Range	Anchor/Range	Anchor/Range	Anchor/Range	LS_Estimated		Estimated	GTX	GTY	ERRO
P8[5.90,10.00,0.00]=4.31	P1[0.00,0.00,0.00]=9.96	P7[2.90,24.00,0.00]=13.80	null	1,52	10,12	[1,47,10,06,-1,02]			
P8[5.90,10.00,0.00]=4.32	P1[0.00,0.00,0.00]=9.94	P7[2.90,24.00,0.00]=13.83	null	1,51	10,10	[1,49,10,05,-1,14]			
P8[5.90,10.00,0.00]=4.25	P1[0.00,0.00,0.00]=9.98	P7[2.90,24.00,0.00]=13.87	null	1,58	10,08	[1,50,10,04,-1,08]			
P8[5.90,10.00,0.00]=4.30	P1[0.00,0.00,0.00]=9.92	P7[2.90,24.00,0.00]=13.87	null	1,53	10,06	[1,48,10,04,-0,90]			
P8[5.90,10.00,0.00]=4.27	P1[0.00,0.00,0.00]=9.95	P7[2.90,24.00,0.00]=13.81	null	1,55	10,11	[1,50,10,03,-1,03]			
P8[5.90,10.00,0.00]=4.30	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.81	null	1,53	10,13	[1,48,10,05,-0,93]			
P8[5.90,10.00,0.00]=4.32	P1[0.00,0.00,0.00]=9.95	P7[2.90,24.00,0.00]=13.83	null	1,51	10,10	[1,50,10,04,-1,07]			
P8[5.90,10.00,0.00]=4.32	P1[0.00,0.00,0.00]=9.91	P7[2.90,24.00,0.00]=13.82	null	1,50	10,09	[1,49,10,03,-1,14]			
P8[5.90,10.00,0.00]=4.28	P1[0.00,0.00,0.00]=9.96	P7[2.90,24.00,0.00]=13.85	null	1,55	10,09	[1,48,10,03,-1,00]			
P8[5.90,10.00,0.00]=4.31	P1[0.00,0.00,0.00]=9.89	P7[2.90,24.00,0.00]=13.83	null	1,51	10,08	[1,48,10,03,-1,08]			
P8[5.90,10.00,0.00]=4.27	P1[0.00,0.00,0.00]=9.88	P7[2.90,24.00,0.00]=13.82	null	1,54	10,08	[1,48,10,02,-1,10]			
P8[5.90,10.00,0.00]=4.28	P1[0.00,0.00,0.00]=9.95	P7[2.90,24.00,0.00]=13.88	null	1,55	10,06	[1,48,10,02,-1,02]			
P8[5.90,10.00,0.00]=4.29	P1[0.00,0.00,0.00]=9.91	P7[2.90,24.00,0.00]=13.83	null	1,53	10,09	[1,49,10,01,-1,11]			
P8[5.90,10.00,0.00]=4.32	P1[0.00,0.00,0.00]=9.93	P7[2.90,24.00,0.00]=13.85	null	1,51	10,08	[1,47,10,02,-0,89]			
P8[5.90,10.00,0.00]=4.32	P1[0.00,0.00,0.00]=9.90	P7[2.90,24.00,0.00]=13.90	null	1,51	10,04	[1,45,10,01,-0,81]			
P8[5.90,10.00,0.00]=4.05	P1[0.00,0.00,0.00]=9.97	P7[2.90,24.00,0.00]=13.88	null	1,73	10,05	[1,52,10,01,-0,80]			
P8[5.90,10.00,0.00]=4.30	P1[0.00,0.00,0.00]=9.98	P7[2.90,24.00,0.00]=13.79	null	1,53	10,13	[1,53,10,02,-0,98]			
P8[5.90,10.00,0.00]=4.28	P1[0.00,0.00,0.00]=10.09	P7[2.90,24.00,0.00]=13.80	null	1,56	10,16	[1,54,10,04,-1,01]			
P8[5.90,10.00,0.00]=4.26	P1[0.00,0.00,0.00]=10.01	P7[2.90,24.00,0.00]=13.82	null	1,57	10,12	[1,53,10,05,-0,95]			
P8[5.90,10.00,0.00]=4.23	P1[0.00,0.00,0.00]=9.98	P7[2.90,24.00,0.00]=13.82	null	1,58	10,11	[1,52,10,05,-0,86]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.80	null	1,67	10,13	[1,55,10,06,-0,84]			
P8[5.90,10.00,0.00]=4.04	P1[0.00,0.00,0.00]=10.13	P7[2.90,24.00,0.00]=13.90	null	1,79	10,08	[1,61,10,06,-0,76]			
P8[5.90,10.00,0.00]=3.97	P1[0.00,0.00,0.00]=10.16	P7[2.90,24.00,0.00]=13.88	null	1,86	10,10	[1,68,10,06,-0,70]			
P8[5.90,10.00,0.00]=4.08	P1[0.00,0.00,0.00]=10.10	P7[2.90,24.00,0.00]=13.89	null	1,75	10,09	[1,73,10,05,-0,89]			
P8[5.90,10.00,0.00]=4.07	P1[0.00,0.00,0.00]=10.10	P7[2.90,24.00,0.00]=13.90	null	1,76	10,08	[1,73,10,05,-0,72]			
P8[5.90,10.00,0.00]=3.94	P1[0.00,0.00,0.00]=10.16	P7[2.90,24.00,0.00]=13.82	null	1,86	10,14	[1,79,10,06,-0,88]			
P8[5.90,10.00,0.00]=3.95	P1[0.00,0.00,0.00]=10.11	P7[2.90,24.00,0.00]=13.87	null	1,85	10,09	[1,84,10,05,-1,00]			
P8[5.90,10.00,0.00]=3.93	P1[0.00,0.00,0.00]=10.10	P7[2.90,24.00,0.00]=13.93	null	1,88	10,04	[1,86,10,04,-0,87]			
P8[5.90,10.00,0.00]=3.90	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.94	null	1,88	10,01	[1,89,10,02,-0,96]			
P8[5.90,10.00,0.00]=3.85	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.82	null	1,89	10,10	[1,91,10,02,-0,95]			
P8[5.90,10.00,0.00]=3.84	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.85	null	1,90	10,08	[1,92,10,02,-0,95]			
P8[5.90,10.00,0.00]=3.86	P1[0.00,0.00,0.00]=10.10	P7[2.90,24.00,0.00]=13.84	null	1,90	10,10	[1,94,10,02,-1,01]			
P8[5.90,10.00,0.00]=3.91	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.90	null	1,86	10,04	[1,94,10,01,-1,03]			
P8[5.90,10.00,0.00]=3.88	P1[0.00,0.00,0.00]=10.14	P7[2.90,24.00,0.00]=13.91	null	1,93	10,07	[1,95,10,02,-0,92]			
P8[5.90,10.00,0.00]=3.85	P1[0.00,0.00,0.00]=10.09	P7[2.90,24.00,0.00]=13.95	null	1,95	10,02	[1,95,10,01,-0,79]			
P8[5.90,10.00,0.00]=3.91	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.85	null	1,85	10,08	[1,94,10,01,-0,83]			
P8[5.90,10.00,0.00]=3.93	P1[0.00,0.00,0.00]=10.12	P7[2.90,24.00,0.00]=13.83	null	1,86	10,12	[1,95,10,02,-0,94]			
P8[5.90,10.00,0.00]=3.91	P1[0.00,0.00,0.00]=10.13	P7[2.90,24.00,0.00]=13.90	null	1,90	10,07	[1,94,10,03,-0,79]			
P8[5.90,10.00,0.00]=3.95	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.97	null	1,86	10,00	[1,92,10,01,-0,70]			
P1[0.00,0.00,0.00]=10.11	P8[5.90,10.00,0.00]=4.03	P7[2.90,24.00,0.00]=13.99	null	1,82	10,02	[1,91,10,01,-0,27]			
P8[5.90,10.00,0.00]=4.05	P1[0.00,0.00,0.00]=10.13	P7[2.90,24.00,0.00]=13.88	null	1,78	10,10	[1,88,10,02,-0,28]			
P8[5.90,10.00,0.00]=3.98	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.91	null	1,82	10,05	[1,89,10,01,-0,53]			
P8[5.90,10.00,0.00]=4.00	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.93	null	1,81	10,04	[1,90,10,00,-0,74]			
P8[5.90,10.00,0.00]=4.02	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.96	null	1,79	10,01	[1,90,9,99,-0,90]			
P8[5.90,10.00,0.00]=4.04	P1[0.00,0.00,0.00]=10.10	P7[2.90,24.00,0.00]=13.88	null	1,78	10,09	[1,90,10,00,-1,03]			
P8[5.90,10.00,0.00]=3.93	P1[0.00,0.00,0.00]=10.11	P7[2.90,24.00,0.00]=13.94	null	1,89	10,04	[1,91,10,00,-0,93]			
P8[5.90,10.00,0.00]=3.94	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.97	null	1,88	10,01	[1,91,10,00,-0,85]			
P8[5.90,10.00,0.00]=3.95	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.89	null	1,83	10,06	[1,91,9,99,-0,93]			
P8[5.90,10.00,0.00]=3.90	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.94	null	1,89	10,02	[1,95,9,98,-1,06]			
P8[5.90,10.00,0.00]=3.93	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.92	null	1,85	10,03	[1,95,9,98,-1,09]			
P8[5.90,10.00,0.00]=3.95	P1[0.00,0.00,0.00]=10.09	P7[2.90,24.00,0.00]=13.90	null	1,85	10,06	[1,96,9,98,-1,17]			
P8[5.90,10.00,0.00]=3.96	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=14.00	null	1,87	9,99	[1,95,9,98,-1,09]			
P8[5.90,10.00,0.00]=3.95	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.97	null	1,86	10,00	[1,96,9,97,-1,17]			
P8[5.90,10.00,0.00]=3.98	P1[0.00,0.00,0.00]=9.99	P7[2.90,24.00,0.00]=13.97	null	1,82	9,99	[1,95,9,95,-1,20]			
P8[5.90,10.00,0.00]=4.01	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.92	null	1,80	10,04	[1,95,9,96,-1,25]			
P8[5.90,10.00,0.00]=3.95	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=14.06	null	1,89	9,93	[1,95,9,94,-1,16]			
P8[5.90,10.00,0.00]=4.00	P1[0.00,0.00,0.00]=9.98	P7[2.90,24.00,0.00]=13.91	null	1,78	10,03	[1,92,9,95,-1,11]			
P8[5.90,10.00,0.00]=4.02	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.97	null	1,82	10,02	[1,89,9,96,-1,00]			
P8[5.90,10.00,0.00]=4.08	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.88	null	1,74	10,08	[1,88,9,98,-1,07]			
P8[5.90,10.00,0.00]=4.01	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.97	null	1,82	10,01	[1,87,9,98,-0,96]			
P8[5.90,10.00,0.00]=4.01	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.98	null	1,81	10,00	[1,85,9,97,-0,78]			
P8[5.90,10.00,0.00]=4.03	P1[0.00,0.00,0.00]=9.99	P7[2.90,24.00,0.00]=13.96	null	1,77	10,00	[1,86,9,96,-0,91]			
P8[5.90,10.00,0.00]=4.02	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.96	null	1,78	10,00	[1,86,9,96,-1,01]			
P8[5.90,10.00,0.00]=4.04	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.94	null	1,76	10,02	[1,86,9,96,-1,06]			
P8[5.90,10.00,0.00]=3.98	P1[0.00,0.00,0.00]=10.01	P7[2.90,24.00,0.00]=13.93	null	1,81	10,02	[1,87,9,96,-1,10]			
P8[5.90,10.00,0.00]=4.01	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.97	null	1,81	10,01	[1,89,9,95,-1,19]			
P8[5.90,10.00,0.00]=4.00	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.91	null	1,80	10,05	[1,89,9,96,-1,21]			
P8[5.90,10.00,0.00]=4.08	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.94	null	1,75	10,04	[1,89,9,96,-1,27]			
P8[5.90,10.00,0.00]=3.98	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.98	null	1,82	9,98	[1,90,9,95,-1,29]			
P8[5.90,10.00,0.00]=4.05	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.96	null	1,78	10,03	[1,87,9,96,-1,11]			
P8[5.90,10.00,0.00]=3.97	P1[0.00,0.00,0.00]=10.01	P7[2.90,24.00,0.00]=13.98	null	1,83	9,99	[1,90,9,95,-1,18]			
P8[5.90,10.00,0.00]=4.03	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.94	null	1,78	10,03	[1,90,9,96,-1,23]			
P8[5.90,10.00,0.00]=4.02	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.98	null	1,82	10,01	[1,88,9,96,-1,09]			
P8[5.90,10.00,0.00]=4.02	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.96	null	1,80	10,01	[1,90,9,96,-1,18]			
P8[5.90,10.00,0.00]=4.01	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.97	null	1,80	9,99	[1,90,9,95,-1,23]			
P8[5.90,10.00,0.00]=4.02	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.89	null	1,77	10,06	[1,89,9,96,-1,21]			
P8[5.90,10.00,0.00]=4.04	P1[0.00,0.00,0.00]=9.98	P7[2.90,24.00,0.00]=13.90	null	1,75	10,04	[1,86,9,97,-1,14]			
P8[5.90,10.00,0.00]=4.02	P1[0.00,0.00,0.00]=9.98	P7[2.90,24.00,0.00]=13.97	null	1,78	9,99	[1,86,9,96,-1,18]			
P8[5.90,10.00,0.00]=4.01	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.99	null	1,83	10,00	[1,86,9,96,-1,08]			
P8[5.90,10.00,0.00]=3.99	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.88	null	1,79	10,06	[1,86,9,97,-1,07]			
P8[5.90,10.00,0.00]=4.06	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.94	null	1,76	10,03	[1,86,9,97,-1,14]			
P8[5.90,10.00,0.00]=4.08	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.93	null	1,75	10,05	[1,83,9,98,-0,96]			
P8[5.90,10.00,0.00]=4.04	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.97	null	1,80	10,02	[1,83,9,99,-0,89]			
P8[5.90,10.00,0.00]=4.07	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.89	null	1,74	10,07	[1,83,9,99,-0,99]			
P8[5.90,10.00,0.00]=4.09	P1[0.00,0.00,0.00]=10.10	P7[2.90,24.00,0.00]=13.97	null	1,76	10,03	[1,82,9,99,-0,96]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.09	P7[2.90,24.00,0.00]=13.92	null	1,71	10,07	[1,79,10,00,-0,83]			
P8[5.90,10.00,0.00]=4.08	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.95	null	1,76	10,04	[1,78,10,01,-0,78]			
P8[5.90,10.00,0.00]=4.05	P1[0.00,0.00,0.00]=10.12	P7[2.90,24.00,0.00]=13.92	null	1,79	10,07	[1,79,10,01,-0,74]			
P8[5.90,10.00,0.00]=4.14	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.90	null	1,68	10,07	[1,78,10,01,-0,88]			
P8[5.90,10.00,0.00]=4.18	P1[0.00,0.00,0.00]=10.10	P7[2.90,24.00,0.00]=13.93	null	1,67	10,07	[1,75,10,02,-0,82]			
P8[5.90,10.00,0.00]=4.19	P1[0.00,0.00,0.00]=10.11	P7[2.90,24.00,0.00]=13.87	null	1,65	10,11	[1,76,10,03,-0,99]			
P8[5.90,10.00,0.00]=4.21	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.89	null	1,63	10,09	[1,75,10,03,-1,10]			
P8[5.90,10.00,0.00]=4.16	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.84	null	1,66	10,11	[1,73,10,04,-1,10]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.84	null	1,67	10,12	[1,73,10,04,-1,13]			
P8[5.90,10.00,0.00]=4.19	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.84	null	1,64	10,12	[1,72,10,05,-1,16]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=9.99	P7[2.90,24.00,0.00]=13.91	null	1,67	10,04	[1,72,10,03,-1,16]			
P8[5.90,10.00,0.00]=4.19	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.87	null	1,64	10,10	[1,71,10,03,-1,19]			
P8[5.90,10.00,0.00]=4.14	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.92	null	1,70	10,06	[1,70,10,03,-0,95]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.81	null	1,67	10,13	[1,69,10,04,-0,91]			
P8[5.90,10.00,0.00]=4.16	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.88	null	1,67	10,09	[1,70,10,04,-1,02]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.86	null	1,67	10,09	[1,70,10,04,-1,03]			
P8[5.90,10.00,0.00]=4.19	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.90	null	1,65	10,07	[1,71,10,03,-1,12]			
P8[5.90,10.00,0.00]=4.16	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.94	null	1,68	10,04	[1,73,10,02,-1,21]			
P8[5.90,10.00,0.00]=4.16	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.91	null	1,67	10,06	[1,73,10,01,-1,24]			
P8[5.90,10.00,0.00]=4.14	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.90	null	1,69	10,07	[1,75,10,01,-1,27]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.94	null	1,69	10,04	[1,76,10,01,-1,32]			
P8[5.90,10.00,0.00]=4.05	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.90	null	1,74	10,05	[1,77,10,00,-1,26]			
P8[5.90,10.00,0.00]=4.17	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.88	null	1,66	10,08	[1,75,10,01,-1,24]			
P8[5.90,10.00,0.00]=4.22	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.91	null	1,62	10,06	[1,73,10,00,-1,25]			
P8[5.90,10.00,0.00]=4.11	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.84	null	1,69	10,10	[1,72,10,01,-1,16]			
P8[5.90,10.00,0.00]=4.16	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.86	null	1,66	10,09	[1,71,10,02,-1,13]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.90	null	1,70	10,07	[1,73,10,02,-1,20]			
P8[5.90,10.00,0.00]=4.12	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.93	null	1,70	10,04	[1,75,10,01,-1,23]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.90	null	1,69	10,06	[1,75,10,01,-1,25]			
P8[5.90,10.00,0.00]=4.17	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.94	null	1,66	10,03	[1,75,10,00,-1,27]			
P8[5.90,10.00,0.00]=4.08	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.83	null	1,72	10,11	[1,74,10,01,-1,20]			
P8[5.90,10.00,0.00]=4.19	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.91	null	1,65	10,06	[1,74,10,01,-1,23]			
P8[5.90,10.00,0.00]=4.11	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.90	null	1,70	10,06	[1,74,10,00,-1,22]			
P8[5.90,10.00,0.00]=4.14	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.87	null	1,68	10,10	[1,75,10,01,-1,24]			
P8[5.90,10.00,0.00]=4.17	P1[0.00,0.00,0.00]=10.01	P7[2.90,24.00,0.00]=13.88	null	1,65	10,07	[1,73,10,01,-1,20]			
P8[5.90,10.00,0.00]=4.14	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.90	null	1,69	10,07	[1,74,10,01,-1,24]			
P8[5.90,10.00,0.00]=4.08	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.91	null	1,73	10,05	[1,76,10,01,-1,25]			
P8[5.90,10.00,0.00]=4.14	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.88	null	1,68	10,08	[1,75,10,01,-1,24]			
P8[5.90,10.00,0.00]=4.09	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.89	null	1,71	10,06	[1,75,10,01,-1,20]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.90	null	1,67	10,06	[1,75,10,01,-1,21]			
P8[5.90,10.00,0.00]=4.16	P1[0.00,0.00,0.00]=10.01	P7[2.90,24.00,0.00]=13.91	null	1,66	10,05	[1,74,10,00,-1,21]			
P8[5.90,10.00,0.00]=4.22	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.86	null	1,62	10,11	[1,73,10,02,-1,24]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.89	null	1,66	10,06	[1,71,10,01,-1,19]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.90	null	1,69	10,08	[1,74,10,02,-1,25]			
P8[5.90,10.00,0.00]=4.11	P1[0.00,0.00,0.00]=10.00	P7[2.90,24.00,0.00]=13.85	null	1,69	10,08	[1,72,10,02,-1,14]			
P8[5.90,10.00,0.00]=4.11	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.92	null	1,72	10,06	[1,75,10,01,-1,21]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.08	P7[2.90,24.00,0.00]=13.89	null	1,68	10,09	[1,76,10,02,-1,26]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.91	null	1,69	10,05	[1,75,10,01,-1,25]			
P8[5.90,10.00,0.00]=4.21	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.89	null	1,63	10,08	[1,74,10,01,-1,27]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.86	null	1,67	10,10	[1,73,10,02,-1,25]			
P8[5.90,10.00,0.00]=4.12	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.89	null	1,70	10,07	[1,74,10,02,-1,25]			
P8[5.90,10.00,0.00]=4.06	P1[0.00,0.00,0.00]=9.98	P7[2.90,24.00,0.00]=13.81	null	1,71	10,10	[1,72,10,03,-1,00]			
P8[5.90,10.00,0.00]=4.20	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.91	null	1,63	10,06	[1,71,10,02,-1,08]			
P8[5.90,10.00,0.00]=4.09	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.91	null	1,73	10,05	[1,74,10,01,-1,14]			
P8[5.90,10.00,0.00]=4.16	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.90	null	1,67	10,06	[1,74,10,01,-1,17]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.82	null	1,66	10,12	[1,72,10,03,-1,13]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.88	null	1,67	10,08	[1,72,10,03,-1,15]			
P8[5.90,10.00,0.00]=4.11	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.90	null	1,71	10,06	[1,74,10,02,-1,18]			
P8[5.90,10.00,0.00]=4.19	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.89	null	1,65	10,08	[1,73,10,02,-1,22]			
P8[5.90,10.00,0.00]=4.18	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.84	null	1,64	10,12	[1,72,10,03,-1,20]			
P8[5.90,10.00,0.00]=4.06	P1[0.00,0.00,0.00]=10.05	P7[2.90,24.00,0.00]=13.89	null	1,75	10,07	[1,75,10,03,-1,22]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.02	P7[2.90,24.00,0.00]=13.86	null	1,68	10,09	[1,73,10,03,-1,16]			
P8[5.90,10.00,0.00]=4.12	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.87	null	1,69	10,08	[1,73,10,03,-1,16]			
P8[5.90,10.00,0.00]=4.19	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.93	null	1,65	10,05	[1,73,10,02,-1,21]			
P8[5.90,10.00,0.00]=4.09	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.93	null	1,74	10,05	[1,73,10,02,-0,94]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.09	P7[2.90,24.00,0.00]=13.94	null	1,70	10,06	[1,72,10,02,-0,87]			
P8[5.90,10.00,0.00]=4.10	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.90	null	1,72	10,06	[1,74,10,01,-0,97]			
P8[5.90,10.00,0.00]=4.17	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.90	null	1,67	10,08	[1,75,10,01,-1,08]			
P8[5.90,10.00,0.00]=4.15	P1[0.00,0.00,0.00]=10.07	P7[2.90,24.00,0.00]=13.88	null	1,68	10,09	[1,75,10,02,-1,15]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.87	null	1,69	10,09	[1,75,10,02,-1,18]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.04	P7[2.90,24.00,0.00]=13.88	null	1,69	10,08	[1,75,10,02,-1,17]			
P8[5.90,10.00,0.00]=4.10	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.92	null	1,73	10,05	[1,77,10,01,-1,24]			
P8[5.90,10.00,0.00]=4.20	P1[0.00,0.00,0.00]=10.03	P7[2.90,24.00,0.00]=13.90	null	1,63	10,07	[1,75,10,01,-1,25]			
P8[5.90,10.00,0.00]=4.13	P1[0.00,0.00,0.00]=10.11	P7[2.90,24.00,0.00]=13.93	null	1,72	10,07	[1,75,10,02,-1,11]			
P8[5.90,10.00,0.00]=4.11	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.98	null	1,74	10,01	[1,75,10,01,-1,01]			
P8[5.90,10.00,0.00]=4.12	P1[0.00,0.00,0.00]=10.06	P7[2.90,24.00,0.00]=13.89	null	1,70	10,08	[1,76,10,01,-1,09]			
P8[5.90,10.00,0.00]=4.12	P1[0.00,0.00,0.00]=10.01	P7[2.90,24.00,0.00]=13.82	null	1,68	10,11	[1,73,10,02,-1,00]			
