Anchor/Range	Anchor/Range	Anchor/Range	Anchor/Range	LS_Estimated		Estimated	GTX	GTY	ERRO
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.58	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.09	2,43	1,57	[2,18,1,49,0,17]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.09	2,50	1,53	[2,19,1,46,0,28]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.70	P8[5.90,10.00,0.00]=9.23	2,38	1,44	[2,19,1,43,0,31]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.72	P8[5.90,10.00,0.00]=9.22	2,37	1,46	[2,20,1,40,0,37]	2,32	1,40	0,08
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.24	2,40	1,43	[2,21,1,38,0,41]	2,32	1,40	0,09
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.71	P8[5.90,10.00,0.00]=9.12	2,39	1,56	[2,21,1,39,0,40]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.12	2,46	1,52	[2,22,1,40,0,35]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.51	P2[8.00,2.40,0.00]=5.62	P3[13.00,0.00,0.00]=10.63	P8[5.90,10.00,0.00]=9.22	2,45	1,43	[2,24,1,38,0,39]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.51	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.64	P8[5.90,10.00,0.00]=9.15	2,44	1,50	[2,24,1,38,0,42]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.58	P8[5.90,10.00,0.00]=9.17	2,48	1,46	[2,26,1,38,0,40]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.71	P8[5.90,10.00,0.00]=9.16	2,39	1,52	[2,23,1,45,0,14]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.59	P8[5.90,10.00,0.00]=9.08	2,48	1,55	[2,23,1,44,0,31]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.11	2,41	1,55	[2,22,1,44,0,32]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.23	2,40	1,43	[2,22,1,41,0,39]	2,32	1,40	0,09
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.09	2,44	1,56	[2,21,1,41,0,48]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.13	2,42	1,53	[2,21,1,42,0,40]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.72	P8[5.90,10.00,0.00]=9.21	2,37	1,47	[2,21,1,40,0,42]	2,32	1,40	0,09
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.23	2,40	1,44	[2,21,1,38,0,45]	2,32	1,40	0,09
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.70	P8[5.90,10.00,0.00]=9.12	2,40	1,55	[2,20,1,38,0,55]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.23	2,41	1,43	[2,21,1,36,0,53]	2,32	1,40	0,09
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.08	2,46	1,56	[2,21,1,38,0,62]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.06	2,40	1,61	[2,19,1,40,0,68]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.70	P8[5.90,10.00,0.00]=9.16	2,40	1,51	[2,18,1,46,0,34]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.71	P8[5.90,10.00,0.00]=9.25	2,38	1,43	[2,17,1,49,0,09]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.15	2,41	1,51	[2,18,1,47,0,12]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.15	2,41	1,51	[2,19,1,45,0,20]	2,32	1,40	0,14
