Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.89;null;[1.96,9.97,-0.80];19:33:17.210
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.92;null;[1.96,9.96,-0.80];19:33:17.310
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.91;null;[1.95,9.95,-0.77];19:33:17.410
P8[5.90,10.00,0.00]=3.81;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.82;null;[1.98,9.96,-0.94];19:33:17.510
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.90;null;[1.97,9.96,-0.92];19:33:17.610
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.90;null;[1.99,9.96,-0.89];19:33:17.710
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.97;null;[1.99,9.94,-0.91];19:33:17.810
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.87;null;[1.97,9.95,-0.74];19:33:17.911
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.94;P7[2.90,24.00,0.00]=13.97;null;[1.98,9.93,-0.80];19:33:18.010
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.97;null;[2.01,9.92,-0.89];19:33:18.110
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.94;P7[2.90,24.00,0.00]=13.82;null;[2.02,9.93,-0.98];19:33:18.210
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.86;null;[2.03,9.93,-1.08];19:33:18.310
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.93;null;[2.03,9.93,-1.05];19:33:18.409
P8[5.90,10.00,0.00]=3.72;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.95;null;[2.05,9.92,-1.04];19:33:18.510
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.90;null;[2.04,9.93,-0.91];19:33:18.610
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.96;null;[2.05,9.92,-0.93];19:33:18.710
P8[5.90,10.00,0.00]=3.75;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.85;null;[2.06,9.93,-1.06];19:33:18.810
P8[5.90,10.00,0.00]=3.73;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.90;null;[2.07,9.94,-1.03];19:33:18.910
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=10.04;P7[2.90,24.00,0.00]=13.90;null;[2.07,9.94,-1.03];19:33:19.010
P8[5.90,10.00,0.00]=3.66;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.96;null;[2.10,9.93,-1.02];19:33:19.110
P8[5.90,10.00,0.00]=3.73;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.90;null;[2.07,9.93,-0.87];19:33:19.209
P8[5.90,10.00,0.00]=3.71;P1[0.00,0.00,0.00]=10.03;P7[2.90,24.00,0.00]=13.88;null;[2.08,9.94,-0.88];19:33:19.310
P8[5.90,10.00,0.00]=3.66;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.85;null;[2.07,9.95,-0.77];19:33:19.410
P8[5.90,10.00,0.00]=3.69;P1[0.00,0.00,0.00]=10.03;P7[2.90,24.00,0.00]=13.92;null;[2.10,9.95,-0.85];19:33:19.510
P8[5.90,10.00,0.00]=3.65;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.90;null;[2.11,9.95,-0.84];19:33:19.610
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.97;null;[2.10,9.93,-0.88];19:33:19.710
P8[5.90,10.00,0.00]=3.73;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.88;null;[2.08,9.94,-0.82];19:33:19.810
P8[5.90,10.00,0.00]=3.70;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.99;null;[2.11,9.93,-0.91];19:33:19.910
P8[5.90,10.00,0.00]=3.72;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.93;null;[2.11,9.93,-0.96];19:33:20.010
P8[5.90,10.00,0.00]=3.68;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.87;null;[2.13,9.93,-1.07];19:33:20.110
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.89;null;[2.10,9.93,-0.98];19:33:20.210
P1[0.00,0.00,0.00]=9.98;P8[5.90,10.00,0.00]=3.77;P7[2.90,24.00,0.00]=13.86;null;[2.06,9.95,-0.64];19:33:20.410
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.71;null;[2.04,9.97,-0.72];19:33:20.510
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=10.05;P7[2.90,24.00,0.00]=13.97;null;[2.07,9.96,-0.89];19:33:20.610
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.88;null;[2.06,9.97,-0.90];19:33:20.709
P8[5.90,10.00,0.00]=3.71;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.78;null;[2.07,9.98,-1.01];19:33:20.810
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.93;null;[2.07,9.97,-1.03];19:33:20.910
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.75;null;[2.05,9.98,-1.05];19:33:21.011
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.90;null;[2.03,9.97,-0.98];19:33:21.110
P8[5.90,10.00,0.00]=3.75;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.84;null;[2.02,9.98,-0.82];19:33:21.210
P8[5.90,10.00,0.00]=3.73;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.85;null;[2.01,9.98,-0.69];19:33:21.310
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.94;null;[2.02,9.96,-0.74];19:33:21.410
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.89;null;[2.00,9.96,-0.75];19:33:21.510
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.94;P7[2.90,24.00,0.00]=13.94;null;[2.00,9.95,-0.76];19:33:21.610
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.91;null;[2.01,9.95,-0.76];19:33:21.710
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.88;null;[2.02,9.94,-0.93];19:33:21.810
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.96;null;[2.04,9.93,-1.00];19:33:21.910
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=10.05;P7[2.90,24.00,0.00]=13.93;null;[2.05,9.94,-1.07];19:33:22.010
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.85;null;[2.06,9.94,-1.17];19:33:22.110
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.97;null;[2.07,9.93,-1.16];19:33:22.209
P8[5.90,10.00,0.00]=3.81;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.94;null;[2.07,9.93,-1.16];19:33:22.310
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.90;null;[2.04,9.94,-1.08];19:33:22.410
P8[5.90,10.00,0.00]=3.81;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.87;null;[2.01,9.95,-0.94];19:33:22.510
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=10.05;P7[2.90,24.00,0.00]=13.88;null;[2.03,9.96,-0.97];19:33:22.610
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.85;null;[2.01,9.96,-0.85];19:33:22.710
