Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=11.08;P8[5.90,10.00,0.00]=9.34;[2.09, 1.5, 0.0]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.24;[2.41, 1.44, 0.0]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.05;[2.44, 1.61, 0.0]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.14;[2.47, 1.5, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.61;P3[13.00,0.00,0.00]=10.53;P8[5.90,10.00,0.00]=9.15;[2.54, 1.46, -0.0]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.09;[2.57, 1.5, 0.0]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=9.14;[2.5, 1.49, -0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.10;[2.54, 1.5, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.15;[2.61, 1.42, 0.0]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.14;[2.53, 1.47, 0.0]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.18;[2.6, 1.39, -0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.08;[2.63, 1.48, 0.0]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.04;[2.55, 1.55, 0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.14;[2.59, 1.44, 0.0]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.20;[2.53, 1.4, -0.0]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.17;[2.57, 1.42, 0.0]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.25;[2.56, 1.34, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.65;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.07;[2.56, 1.52, 0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.21;[2.58, 1.37, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.19;[2.52, 1.42, 0.0]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.25;[2.53, 1.36, 0.0]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.19;[2.6, 1.38, -0.0]
